AvailabilityZone,InstanceType,SpotPrice,Timestamp,Compute Units (ECU),Physical Processor,Clock Speed(GHz),intr rate,CostEfficiency
ap-northeast-3b,c5n.xlarge,0.0372,2024-02-18 08:08:18+00:00,20,Intel Xeon Platinum 8124M,,2,537.6344086021505
ap-northeast-3a,c5n.xlarge,0.0391,2024-02-18 08:16:22+00:00,20,Intel Xeon Platinum 8124M,,2,511.5089514066496
ap-northeast-3b,c5d.xlarge,0.0407,2024-02-18 09:15:52+00:00,20,Intel Xeon Platinum 8124M,,0,491.4004914004914
ap-northeast-3b,m5.xlarge,0.0384,2024-02-18 06:00:58+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,416.6666666666667
ap-northeast-3a,c4.xlarge,0.0387,2024-02-18 12:00:49+00:00,16,Intel Xeon E5-2666 v3 (Haswell),,0,413.43669250645996
ap-northeast-3a,m5.xlarge,0.0395,2024-02-18 12:01:24+00:00,16,Intel Xeon Platinum 8175,2.5GHz,0,405.0632911392405
ap-northeast-3a,c5d.xlarge,0.0497,2024-02-18 08:45:51+00:00,20,Intel Xeon Platinum 8124M,,0,402.41448692152915
ap-east-1c,c5n.xlarge,0.051,2024-02-18 00:31:10+00:00,20,Intel Xeon Platinum 8124M,,1,392.15686274509807
ap-northeast-3c,c5d.xlarge,0.0537,2024-02-18 07:45:51+00:00,20,Intel Xeon Platinum 8124M,,0,372.43947858473
ap-northeast-3c,r5.xlarge,0.0514,2024-02-18 08:31:18+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,369.6498054474708
ap-northeast-3b,r5.xlarge,0.0516,2024-02-18 03:45:52+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,368.2170542635659
ap-east-1c,r5.xlarge,0.0521,2024-02-18 10:45:59+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,364.68330134357007
ap-east-1a,r5.xlarge,0.0526,2024-02-18 04:46:32+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,361.21673003802283
ap-northeast-3b,r5d.xlarge,0.0556,2024-02-18 05:31:20+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,341.726618705036
eu-north-1b,r5.xlarge,0.056,2024-02-18 08:32:22+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,339.2857142857143
ap-northeast-3c,r5d.xlarge,0.0578,2024-02-18 10:16:16+00:00,19,Intel Xeon Platinum 8175,2.5GHz,0,328.719723183391
ap-northeast-3a,m5d.xlarge,0.0489,2024-02-18 10:16:04+00:00,16,Intel Xeon Platinum 8175,2.5GHz,1,327.19836400817996
ap-northeast-1d,r5.xlarge,0.0596,2024-02-18 02:16:28+00:00,19,Intel Xeon Platinum 8175,2.5GHz,3,318.79194630872485
eu-north-1a,c5n.xlarge,0.063,2024-02-18 10:31:33+00:00,20,Intel Xeon Platinum 8124M,,0,317.46031746031747
ap-northeast-2c,z1d.xlarge,0.0731,2024-02-17 23:32:21+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,314.63748290013683
ap-northeast-2a,z1d.xlarge,0.0731,2024-02-18 09:32:20+00:00,23,Intel Xeon Platinum 8151,4.0GHz,4,314.63748290013683
eu-north-1b,c5n.xlarge,0.0636,2024-02-18 08:46:49+00:00,20,Intel Xeon Platinum 8124M,,0,314.4654088050314
eu-west-3c,r5.xlarge,0.0622,2024-02-18 00:17:27+00:00,19,Intel Xeon Platinum 8175,2.5GHz,1,305.4662379421222
