"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"M3 General Purpose Medium","m3.medium","3.75 GiB","3 units","1 vCPUs","0","0","3 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","Yes","4 GiB               SSD","No","No","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","HVM, PV","No","$0.098000 hourly","$0.048 hourly","$0.127 hourly","$0.108 hourly","$0.167 hourly","$0.081 hourly","$0.13 hourly","$0.1 hourly","$0.184 hourly","$0.127 hourly","$0.353 hourly","$0.221 hourly","unavailable","unavailable","$0.135 hourly","$0.111 hourly","$0.547 hourly","$0.523 hourly","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GiB","2 units","1 vCPUs","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","410 GiB               HDD","No","N/A","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","12","2","No","No","No","No","PV","Yes","$0.117000 hourly","$0.056 hourly","$0.147 hourly","$0.116 hourly","$0.187 hourly","$0.092 hourly","$0.149 hourly","$0.115 hourly","$0.237 hourly","$0.155 hourly","$0.744 hourly","$0.543 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.022 hourly"
"M1 General Purpose Small","m1.small","1.7 GiB","1 units","1 vCPUs","0","0","1 units","Intel Xeon Family","unknown","unknown","unknown","unknown","160 GiB               HDD               + 900MB swap","No","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","No","8","2","No","No","No","No","PV","Yes","$0.058000 hourly","$0.028 hourly","$0.104 hourly","$0.088 hourly","$0.074 hourly","$0.052 hourly","$0.075 hourly","$0.057 hourly","$0.139 hourly","$0.094 hourly","$0.629 hourly","$0.473 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.011 hourly"
"T2 Small","t2.small","2.0 GiB","Base performance:                 20%","1 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","12","3","No","Yes","Yes","No","HVM","No","$0.029200 hourly","$0.0144 hourly","$0.083 hourly","$0.0744 hourly","$0.053 hourly","$0.028 hourly","$0.032 hourly","$0.0236 hourly","$0.1034 hourly","$0.093 hourly","unavailable","unavailable","unavailable","unavailable","$0.0908 hourly","$0.082 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.014600 hourly","$0.0072 hourly","$0.0716 hourly","$0.0672 hourly","$0.0216 hourly","$0.0162 hourly","$0.0162 hourly","$0.0118 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T1 Micro","t1.micro","0.613 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Variable","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","No","4","2","No","No","No","No","PV","No","$0.020000 hourly","$0.014 hourly","$0.08 hourly","$0.074 hourly","$0.03 hourly","$0.022 hourly","$0.02 hourly","$0.015 hourly","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                 5%","1 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.007300 hourly","$0.0036 hourly","unavailable","unavailable","$0.0158 hourly","$0.0126 hourly","$0.0081 hourly","$0.0059 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"A1 Medium","a1.medium","2.0 GiB","0 units","1 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","8","2","Yes","Yes","Yes","No","Unknown","No","unavailable","$0.0161 hourly","$0.0855 hourly","$0.0761 hourly","$0.0565 hourly","$0.0291 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"Z1D Large","z1d.large","16.0 GiB","15 units","2 vCPUs","0","0","7.5 units","Intel Xeon Platinum 8151","4.0 GHz","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2333.0 Mbps","291.0 MB/s","13333.0 IOPS","No","30","3","No","Yes","Yes","No","HVM","No","$0.226000 hourly","$0.118 hourly","$0.246 hourly","$0.178 hourly","$0.249 hourly","$0.143 hourly","$0.278 hourly","$0.21 hourly","$0.346 hourly","$0.277 hourly","$0.758 hourly","$0.69 hourly","unavailable","unavailable","$0.254 hourly","$0.185 hourly","$0.666 hourly","$0.598 hourly","unavailable","unavailable","0","unavailable"
"R5D Large","r5d.large","16.0 GiB","10 units","2 vCPUs","0","0","5 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","No","Yes","Yes","No","HVM","No","$0.174000 hourly","$0.091 hourly","$0.204 hourly","$0.151 hourly","$0.207 hourly","$0.116 hourly","$0.236 hourly","$0.183 hourly","$0.304 hourly","$0.25 hourly","$0.716 hourly","$0.663 hourly","unavailable","unavailable","$0.212 hourly","$0.158 hourly","$0.624 hourly","$0.571 hourly","unavailable","unavailable","0","unavailable"
